reason,tmdb_id,slug,score,movie_title,year_released,tmdb_title,tmdb_year,release_date,popularity,existing_slug
no_match,,the-directors-the-films-of-david-cronenberg,,The Directors - The Films of David Cronenberg,1999,,,,,
no_match,,fallout-nuka-break-2011,,Fallout: Nuka Break,2011,,,,,
no_match,,the-worlds-racing,,The World's Racing,1987,,,,,
no_match,,wolfs-rain,,Wolf's Rain,2003,,,,,
no_match,,einsatzgruppen-the-nazi-death-squads,,Einsatzgruppen: The Nazi Death Squads,2009,,,,,
no_match,,unsolved-mysteries-tsunami-spirits,,Unsolved Mysteries: Tsunami Spirits,,,,,,
no_match,,la-linea-verticale,,La linea verticale,2018,,,,,
low_confidence,777128,hillary,0.6500,Hillary,2020,HillaryHulu2020Rip.1080p.avi,2020,2020-11-04,0.0143,
no_match,,lego-star-wars-the-new-yoda-chronicles-escape-from-the-jedi-temple,,LEGO Star Wars: The New Yoda Chronicles - Escape from the Jedi Temple,2014,,,,,
collision_existing,660717,enfant-terrible-2020,1.2503,Enfant Terrible,2020,Enfant Terrible,2020,2020-10-01,0.5788,enfant-terrible
low_confidence,51720,kuro-no-tenshi-vol-2,0.6748,Kuro no tenshi Vol. 2,1999,Black Angel 2,1999,1999-11-13,1.0974,
collision_existing,140447,una-noche,1.2503,Una Noche,2012,One Night,2012,2012-04-19,0.5260,one-night-2012
no_match,,schimanski-blutsbruder,,Schimanski: Blutsbrüder,1997,,,,,
no_match,,battle-of-the-brick-built-for-combat,,Battle of the Brick: Built for Combat,2011,,,,,
no_match,,fucking-idiots,,Fucking Idiots,,,,,,
no_match,,marie-brand-und-der-reiz-der-gewalt,,Marie Brand und der Reiz der Gewalt,2019,,,,,
low_confidence,310609,cleopatra-1999,0.6686,Cleopatra,1999,Cleopatra: The First Woman of Power,1999,1999-08-15,0.0709,
no_match,,the-real-justice-league,,the real Justice League,,,,,,
no_match,,auschwitz-the-nazis-and-the-final-solution,,Auschwitz: The Nazis and the Final Solution,2005,,,,,
no_match,,uniform-virgin-the-prey,,Uniform Virgin: The Prey,1986,,,,,
